portfolio_id,ticker,sector,investment_horizon,shares_held,current_price,cost_basis_per_share,total_position_cost,position_dollars,total_portfolio_value,weight,stock_beta,target_beta,actual_beta,stock_sharpe,portfolio_sharpe,weekly_return,weekly_dollar_change,monthly_return,monthly_dollar_change,ytd_return,ytd_dollar_change,one_year_return,one_year_dollar_change,portfolio_inception
1,VOO,S&P 500 Index ETF,Long Term,771.0302,$11.93,$10.77,"$8,304.00","$9,198.39","$56,665.95",16.23%,0.95,0.87,0.81,0.03,-0.14,4.82%,$400.24,20.66%,"$1,715.33",251.32%,"$20,869.82",4457.71%,"$370,167.74",2007-07-21
1,IVV,S&P 500 Index ETF,Long Term,25.2823,$360.94,$495.70,"$12,532.44","$9,125.39","$56,665.95",16.10%,0.97,0.87,0.81,0.03,-0.14,0.01%,$1.13,0.04%,$4.82,0.47%,$58.68,8.31%,"$1,040.87",2007-07-21
1,MTCH,Technology,Long Term,10.326,$732.18,$965.24,"$9,967.07","$7,560.46","$56,665.95",13.34%,0.84,0.87,0.81,-0.33,-0.14,-0.10%,$-10.46,-0.45%,$-44.82,-5.47%,$-545.30,-97.04%,"$-9,672.05",2007-07-21
1,CSCO,Technology,Long Term,14.7515,$507.32,$460.87,"$6,798.52","$7,483.71","$56,665.95",13.21%,0.82,0.87,0.81,0.59,-0.14,-0.09%,$-6.43,-0.41%,$-27.57,-4.93%,$-335.45,-87.52%,"$-5,949.94",2007-07-21
1,PEG,Utilities,Long Term,7.2965,$164.36,$172.92,"$1,261.71","$1,199.25","$56,665.95",2.12%,0.51,0.87,0.81,0.89,-0.14,-0.06%,$-0.72,-0.24%,$-3.07,-2.96%,$-37.32,-52.46%,$-661.87,2007-07-21
1,EIX,Utilities,Long Term,2.042,$572.96,$349.64,$713.96,"$1,170.00","$56,665.95",2.06%,0.47,0.87,0.81,-0.68,-0.14,-0.09%,$-0.65,-0.39%,$-2.78,-4.73%,$-33.78,-83.91%,$-599.10,2007-07-21
1,NEE,Utilities,Long Term,1.2408,$830.96,$980.04,"$1,216.03","$1,031.06","$56,665.95",1.82%,0.28,0.87,0.81,0.10,-0.14,-0.10%,$-1.23,-0.43%,$-5.26,-5.26%,$-63.95,-93.28%,"$-1,134.30",2007-07-21
1,ETR,Utilities,Long Term,1.2792,$800.30,$415.46,$531.46,"$1,023.75","$56,665.95",1.81%,0.27,0.87,0.81,1.67,-0.14,-0.09%,$-0.46,-0.37%,$-1.98,-4.53%,$-24.06,-80.30%,$-426.78,2007-07-21
1,FMC,Basic Materials,Long Term,8.613,$294.12,$393.03,"$3,385.17","$2,533.27","$56,665.95",4.47%,0.80,0.87,0.81,-0.75,-0.14,-0.10%,$-3.31,-0.42%,$-14.21,-5.11%,$-172.85,-90.56%,"$-3,065.75",2007-07-21
1,MLM,Basic Materials,Long Term,237.8495,$10.43,$13.20,"$3,139.61","$2,480.77","$56,665.95",4.38%,0.76,0.87,0.81,-0.84,-0.14,3.94%,$123.82,16.90%,$530.66,205.64%,"$6,456.42",3647.50%,"$114,517.40",2007-07-21
